Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,891,881,780,733,"1,853","4,994","4,674","5,370","6,288","6,282","5,967","6,322"
Expenses+,867,876,747,700,"1,806","4,666","4,310","5,112","6,014","5,855","5,429","5,765"
Operating Profit,24,6,32,33,47,328,364,258,273,426,538,557
OPM %,3%,1%,4%,5%,3%,7%,8%,5%,4%,7%,9%,9%
Other Income+,38,7,13,19,-67,-178,-75,0,-25,-14,-68,-44
Interest,26,27,26,25,45,132,98,74,111,141,145,158
Depreciation,18,8,7,8,15,92,96,99,107,114,113,116
Profit before tax,18,-22,13,19,-79,-73,96,86,29,156,212,239
Tax %,16%,55%,18%,22%,-1%,10%,19%,15%,20%,12%,3%,9%
Net Profit+,15,-35,10,15,-79,-80,78,73,24,138,205,218
EPS in Rs,1.04,-2.43,0.73,1.05,-5.30,-5.38,4.80,4.43,1.41,8.19,12.09,12.25
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,8%
