Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"96,101","96,532","95,468","82,639","80,780","87,539","100,616","116,547","139,145","149,982","172,985","210,973"
Expenses+,"62,499","62,548","60,138","52,560","55,016","50,930","55,337","59,013","67,871","72,090","87,925","91,298"
Operating Profit,"33,602","33,984","35,330","30,079","25,764","36,610","45,279","57,534","71,274","77,893","85,060","119,674"
OPM %,35%,35%,37%,36%,32%,42%,45%,49%,51%,52%,49%,57%
Other Income+,"1,243","4,858","1,713","1,756","4,474","-37,775","-4,215","4,656","1,019","-3,028","20,662",-236
Interest,"4,446","8,546","9,547","9,326","10,622","13,992","15,091","16,616","19,300","22,648","21,754","21,555"
Depreciation,"19,858","17,450","19,773","19,243","21,348","27,690","29,404","33,091","36,432","39,538","45,570","52,711"
Profit before tax,"10,540","12,846","7,723","3,267","-1,732","-42,846","-3,432","12,483","16,561","12,679","38,398","45,173"
Tax %,52%,46%,45%,33%,-197%,-28%,260%,33%,26%,32%,2%,25%
Net Profit+,"5,048","6,893","4,241","2,184","1,688","-30,664","-12,364","8,305","12,287","8,558","37,481","33,823"
EPS in Rs,8.41,11.05,6.91,2.00,0.74,-55.06,-25.63,7.23,14.97,13.20,58.85,43.81
Dividend Payout %,33%,9%,11%,194%,244%,-3%,0%,39%,27%,62%,28%,55%
