Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"23,938","23,517","19,719","17,915","17,631","17,406","16,966","16,730","19,400","24,050","28,131","31,896"
Interest,"18,554","18,135","14,529","12,448","12,352","12,103","11,067","10,419","11,145","14,220","17,241","19,322"
Expenses+,"7,262","11,443","11,728","17,573","15,142","16,706","10,360","9,263","9,756","11,737","11,529","11,421"
Financing Profit,"-1,878","-6,060","-6,539","-12,106","-9,863","-11,404","-4,461","-2,952","-1,501","-1,908",-639,"1,153"
Financing Margin %,-8%,-26%,-33%,-68%,-56%,-66%,-26%,-18%,-8%,-8%,-2%,4%
Other Income+,"2,139","2,528","3,373","3,746","4,206","3,360","5,559","4,903","4,109","5,656","5,545","5,636"
Depreciation,149,196,215,272,304,301,258,172,260,336,394,521
Profit before tax,111,"-3,728","-3,381","-8,632","-5,961","-8,344",840,"1,779","2,348","3,413","4,512","6,268"
Tax %,508%,-22%,1%,-27%,-37%,2%,1%,4%,11%,22%,26%,17%
Net Profit+,-454,"-2,897","-3,417","-6,299","-3,738","-8,527",831,"1,710","2,099","2,656","3,335","5,208"
EPS in Rs,-3.68,-16.03,-13.92,-12.88,-4.09,-5.19,0.51,0.90,1.11,1.40,1.73,2.70
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
