Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"5,292","4,452","5,589","7,586","8,912","10,716","12,906"
Expenses+,"4,635","3,827","4,763","6,542","7,635","9,153","11,023"
Operating Profit,657,625,826,"1,044","1,276","1,564","1,884"
OPM %,12%,14%,15%,14%,14%,15%,15%
Other Income+,20,116,62,33,32,56,86
Interest,236,232,213,185,170,180,171
Depreciation,340,346,406,461,517,590,673
Profit before tax,101,163,270,431,621,849,"1,125"
Tax %,55%,27%,25%,25%,26%,26%,25%
Net Profit+,45,119,203,321,462,632,839
EPS in Rs,0.10,0.26,0.45,0.71,1.02,1.37,1.80
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%
