Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"7,185","7,104","7,478","7,665","7,737","7,976","8,160"
Interest,"3,693","3,836","3,960","4,066","3,976","3,928","4,017"
Expenses+,"1,915","1,762","2,072","2,126","2,135","2,172","2,026"
Financing Profit,"1,576","1,506","1,447","1,473","1,626","1,876","2,118"
Financing Margin %,22%,21%,19%,19%,21%,24%,26%
Other Income+,9,8,31,27,16,-40,3
Depreciation,92,99,109,118,135,142,143
Profit before tax,"1,494","1,415","1,368","1,382","1,507","1,695","1,978"
Tax %,24%,26%,27%,25%,26%,25%,26%
Net Profit+,"1,133","1,050","1,000","1,041","1,119","1,265","1,466"
EPS in Rs,2.87,2.87,2.77,2.48,2.72,2.96,3.54
Gross NPA %,0.80%,,,,,,
Net NPA %,0.40%,,,,,,
Raw PDF,,,,,,,
