Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,760","1,480","1,434","2,174","2,324","2,000","2,199","3,914","4,212","3,868","4,643","5,690"
Expenses+,"1,383","1,289","1,217","1,772","1,842","1,644","1,679","2,559","3,152","3,070","3,406","3,903"
Operating Profit,377,191,217,402,482,356,520,"1,355","1,060",798,"1,237","1,787"
OPM %,21%,13%,15%,18%,21%,18%,24%,35%,25%,21%,27%,31%
Other Income+,-77,35,96,63,17,-17,130,43,49,181,172,247
Interest,120,112,94,97,99,82,79,147,124,128,220,244
Depreciation,93,75,69,73,76,78,75,143,178,183,271,341
Profit before tax,87,39,150,294,324,179,495,"1,108",807,667,918,"1,449"
Tax %,35%,68%,15%,30%,36%,24%,23%,27%,25%,24%,26%,27%
Net Profit+,56,13,127,205,207,128,376,807,604,524,702,"1,109"
EPS in Rs,1.53,0.35,3.66,5.62,5.64,3.50,10.40,22.31,17.09,14.84,19.86,31.38
Dividend Payout %,20%,143%,11%,9%,9%,14%,7%,3%,9%,7%,8%,6%
