Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,441,582,737,796,987,981,286,508,"1,128","1,417","1,718","2,770"
Expenses+,377,446,624,551,668,644,279,409,676,833,982,"1,582"
Operating Profit,64,136,113,245,319,337,7,98,453,585,736,"1,187"
OPM %,14%,23%,15%,31%,32%,34%,2%,19%,40%,41%,43%,43%
Other Income+,18,13,311,-66,44,24,14,11,92,20,36,42
Interest,161,216,218,212,266,146,152,144,154,197,159,180
Depreciation,62,99,127,112,115,113,117,118,117,138,179,230
Profit before tax,-141,-166,79,-145,-18,101,-248,-153,273,269,434,819
Tax %,-10%,-32%,-61%,-36%,-58%,1%,-44%,-47%,33%,-3%,67%,21%
Net Profit+,-126,-112,127,-93,-8,100,-139,-81,183,278,142,645
EPS in Rs,-8.31,-7.39,8.38,-5.43,-0.37,5.01,-6.78,-3.98,8.94,13.54,6.53,29.46
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%
