Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,437","1,431","1,521","1,833","2,076","1,870","1,695","2,332","2,972","3,343","3,643","4,233"
Expenses+,"1,320","1,302","1,374","1,662","1,898","1,732","1,592","2,186","2,758","3,053","3,321","3,864"
Operating Profit,117,129,146,171,178,138,103,146,214,290,322,369
OPM %,8%,9%,10%,9%,9%,7%,6%,6%,7%,9%,9%,9%
Other Income+,3,2,6,7,9,10,24,26,17,22,30,37
Interest,5,2,4,3,3,4,7,4,5,5,4,6
Depreciation,31,33,35,38,41,44,42,41,49,57,63,77
Profit before tax,84,95,113,137,143,100,78,126,178,250,285,322
Tax %,28%,21%,27%,31%,34%,16%,23%,29%,26%,26%,26%,24%
Net Profit+,60,75,83,94,95,85,60,90,132,185,212,243
EPS in Rs,4.18,5.24,5.76,6.56,6.61,5.90,4.20,6.23,9.21,12.89,14.75,16.93
Dividend Payout %,25%,23%,23%,21%,23%,22%,21%,25%,28%,31%,32%,18%
