Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"1,768","1,883","1,997","2,139","2,187","2,285","2,387","2,489","2,516","2,569","2,808","2,794","2,904"
Interest,876,986,"1,082","1,138","1,189","1,260","1,324","1,407","1,427","1,489","1,547","1,555","1,545"
Expenses+,847,741,743,833,"1,051",800,896,878,925,839,"1,030",848,985
Financing Profit,45,156,173,168,-53,225,167,203,164,240,231,392,373
Financing Margin %,3%,8%,9%,8%,-2%,10%,7%,8%,7%,9%,8%,14%,13%
Other Income+,401,333,339,358,626,388,469,465,509,447,512,509,616
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,446,489,512,526,574,613,636,668,674,687,743,901,989
Tax %,24%,27%,26%,22%,20%,25%,26%,26%,24%,24%,23%,23%,27%
Net Profit+,338,359,378,412,456,459,474,496,513,521,574,690,725
EPS in Rs,3.51,3.72,3.93,4.27,4.73,4.75,4.90,5.14,5.31,5.40,5.94,7.14,7.50
Gross NPA %,2.27%,1.99%,1.73%,1.58%,1.40%,1.32%,1.10%,0.83%,0.76%,0.66%,0.76%,0.71%,0.75%
Net NPA %,0.74%,0.59%,0.47%,0.42%,0.40%,0.38%,0.28%,0.20%,0.20%,0.19%,0.19%,0.19%,0.19%
Raw PDF,,,,,,,,,,,,,
