Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM
Sales+,"1,977","2,193","2,367","2,460","2,771","3,071","2,902","2,957","2,770","2,851","2,013","1,837","1,774"
Expenses+,"1,639","1,817","1,832","1,921","2,146","2,403","2,186","2,194","2,066","2,047","1,522","1,346","1,312"
Operating Profit,339,376,535,538,625,667,716,762,704,804,491,491,462
OPM %,17%,17%,23%,22%,23%,22%,25%,26%,25%,28%,24%,27%,26%
Other Income+,131,218,66,79,88,33,45,564,204,83,79,-8,-6
Interest,0,0,2,1,1,0,2,2,2,2,2,2,2
Depreciation,97,113,119,102,103,100,82,67,42,40,37,37,37
Profit before tax,373,481,480,515,610,600,677,"1,258",864,846,531,445,417
Tax %,29%,33%,37%,37%,38%,31%,29%,25%,28%,29%,22%,27%,
Net Profit+,264,322,304,326,381,414,478,944,621,603,414,327,310
EPS in Rs,114.61,139.78,132.26,141.74,165.48,180.09,207.65,410.61,269.83,262.26,179.78,142.04,134.70
Dividend Payout %,39%,46%,51%,50%,51%,194%,176%,119%,211%,64%,65%,87%,
