Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,505","3,767","4,053","4,658","5,424","5,280","5,074","6,369","7,543","7,801","7,823","8,052"
Expenses+,"3,054","3,182","3,315","3,864","4,672","4,476","4,211","5,720","6,725","6,774","6,881","7,077"
Operating Profit,451,585,737,794,753,804,863,649,818,"1,028",942,975
OPM %,13%,16%,18%,17%,14%,15%,17%,10%,11%,13%,12%,12%
Other Income+,22,563,98,71,61,26,38,25,26,753,769,83
Interest,1,0,0,1,10,21,24,29,29,29,31,32
Depreciation,68,68,70,77,106,142,165,170,180,190,202,228
Profit before tax,404,"1,079",765,787,697,667,712,476,635,"1,561","1,478",797
Tax %,32%,16%,33%,35%,36%,23%,26%,28%,26%,25%,25%,28%
Net Profit+,275,902,510,514,448,516,526,343,468,"1,176","1,109",576
EPS in Rs,3.39,11.15,6.29,6.36,5.60,6.44,6.55,4.44,5.86,14.66,14.14,7.29
Dividend Payout %,28%,18%,32%,27%,31%,33%,53%,34%,31%,26%,27%,51%
