Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"6,473","6,851","7,219","7,352","7,580","7,567","7,796","7,979","8,382","7,868","8,286","8,646","8,853"
Expenses+,"5,477","5,702","5,846","5,753","5,920","5,949","6,230","6,401","6,622","6,265","6,608","6,873","7,103"
Operating Profit,996,"1,149","1,373","1,599","1,660","1,618","1,566","1,578","1,760","1,603","1,678","1,773","1,750"
OPM %,15%,17%,19%,22%,22%,21%,20%,20%,21%,20%,20%,21%,20%
Other Income+,135,47,188,163,14,221,136,159,135,107,122,123,117
Interest,56,57,68,76,89,111,113,118,115,98,95,93,98
Depreciation,346,327,418,423,354,404,382,419,444,406,429,465,479
Profit before tax,730,812,"1,076","1,262","1,230","1,324","1,207","1,200","1,335","1,207","1,276","1,339","1,291"
Tax %,31%,30%,30%,26%,26%,31%,32%,30%,32%,32%,34%,32%,29%
Net Profit+,506,570,752,940,907,918,817,846,903,824,848,910,921
EPS in Rs,8.64,9.74,12.92,15.98,15.51,15.69,14.07,14.56,15.56,14.20,14.61,15.67,15.86
Raw PDF,,,,,,,,,,,,,
