Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"8,787","9,182","8,479","9,103","8,731","8,970","8,028","8,549","8,359","8,939","8,531","8,867","9,247"
Expenses+,"6,923","7,061","6,762","7,047","7,039","7,276","6,788","6,913","6,923","7,314","7,028","7,086","7,460"
Operating Profit,"1,865","2,121","1,716","2,056","1,691","1,694","1,240","1,637","1,436","1,625","1,503","1,781","1,787"
OPM %,21%,23%,20%,23%,19%,19%,15%,19%,17%,18%,18%,20%,19%
Other Income+,104,228,194,186,212,193,25,193,-60,229,237,69,197
Interest,39,46,51,54,54,55,63,56,53,44,44,48,59
Depreciation,220,198,209,220,226,228,242,256,301,301,305,313,310
Profit before tax,"1,710","2,105","1,651","1,968","1,624","1,604",959,"1,518","1,022","1,509","1,392","1,489","1,614"
Tax %,26%,25%,25%,25%,21%,26%,28%,26%,31%,26%,27%,28%,27%
Net Profit+,"1,258","1,575","1,232","1,475","1,275","1,187",694,"1,128",701,"1,117","1,018","1,074","1,185"
EPS in Rs,12.87,16.16,12.57,15.09,13.10,12.20,7.24,11.58,7.22,11.47,10.36,11.05,12.22
Raw PDF,,,,,,,,,,,,,
