Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,720,809,"1,002","1,222","1,434","1,662","1,075","1,666","2,465","2,786","3,254","3,789"
Expenses+,657,747,917,"1,090","1,301","1,448",944,"1,462","2,196","2,570","2,874","3,276"
Operating Profit,64,62,85,133,133,214,131,204,269,215,380,513
OPM %,9%,8%,8%,11%,9%,13%,12%,12%,11%,8%,12%,14%
Other Income+,0,2,4,4,-4,4,21,14,15,19,34,14
Interest,4,3,4,2,2,55,59,77,117,142,136,75
Depreciation,5,19,19,23,28,94,103,131,180,222,233,297
Profit before tax,55,42,67,112,100,70,-10,10,-13,-130,44,155
Tax %,32%,35%,34%,31%,38%,29%,-36%,-12%,-40%,-26%,-4%,20%
Net Profit+,37,28,44,78,62,49,-6,12,-8,-97,46,124
EPS in Rs,5.18,3.82,6.07,10.73,8.50,6.80,-0.79,1.47,-0.99,-12.23,5.78,15.61
Dividend Payout %,7%,8%,5%,5%,5%,0%,0%,13%,0%,0%,0%,6%
