Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"74,120","77,861","78,164","85,244","99,586","96,080","90,026","109,715","138,252","144,762","143,369","168,400"
Expenses+,"56,777","59,147","65,716","75,956","74,579","74,500","71,398","84,995","94,020","96,791","96,305","127,158"
Operating Profit,"17,343","18,714","12,448","9,288","25,007","21,581","18,628","24,721","44,232","47,971","47,064","41,242"
OPM %,23%,24%,16%,11%,25%,22%,21%,23%,32%,33%,33%,24%
Other Income+,"6,570","5,939","5,316","4,975","5,834","6,444","3,742","3,866","6,560","8,396","9,932","12,034"
Interest,9,388,410,430,264,503,642,541,684,819,884,"1,216"
Depreciation,"2,320","2,826","2,907","3,063","3,450","3,451","3,718","4,429","6,833","6,735","9,145","10,137"
Profit before tax,"21,584","21,440","14,446","10,770","27,127","24,071","18,009","23,616","43,275","48,813","46,966","41,923"
Tax %,36%,33%,36%,35%,36%,31%,29%,26%,27%,23%,25%,26%
Net Profit+,"13,727","14,267","9,280","7,038","17,464","16,700","12,702","17,378","31,723","37,369","35,302","31,071"
EPS in Rs,21.73,22.59,14.95,11.34,28.34,27.12,20.61,28.17,51.54,60.69,57.37,50.46
Dividend Payout %,95%,121%,133%,146%,46%,44%,78%,60%,47%,42%,46%,53%
