Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,807,841,929,955,974,"1,002","1,086","1,050","1,000","1,078","1,197","1,186","1,182"
Expenses+,687,722,787,805,817,841,869,864,818,876,961,983,958
Operating Profit,120,119,142,149,156,161,217,186,182,202,236,202,224
OPM %,15%,14%,15%,16%,16%,16%,20%,18%,18%,19%,20%,17%,19%
Other Income+,149,-17,-64,153,-40,"5,120",35,9,5,29,28,-0,37
Interest,25,25,30,25,30,29,31,31,32,31,31,31,30
Depreciation,54,51,54,57,58,60,62,62,64,63,66,68,67
Profit before tax,190,26,-7,220,28,"5,191",159,102,91,136,167,103,163
Tax %,4%,24%,120%,5%,108%,1%,33%,37%,6%,31%,27%,43%,6%
Net Profit+,183,20,-15,209,-2,"5,152",106,64,86,94,121,59,154
EPS in Rs,3.42,0.10,-0.62,3.59,-0.48,103.00,1.94,1.14,1.58,1.65,2.12,1.01,2.71
Raw PDF,,,,,,,,,,,,,
