Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,707,780,844,836,809,861,957,943,931,"1,031","1,099","1,121","1,159"
Expenses+,540,595,631,620,629,675,728,706,707,784,868,904,915
Operating Profit,167,184,213,216,179,186,228,238,225,247,231,217,244
OPM %,24%,24%,25%,26%,22%,22%,24%,25%,24%,24%,21%,19%,21%
Other Income+,25,15,21,18,27,22,18,16,-27,20,36,-15,37
Interest,20,18,20,18,18,18,16,16,15,14,17,22,27
Depreciation,38,40,43,44,45,47,49,48,49,45,50,61,67
Profit before tax,133,141,171,172,143,144,181,189,133,208,200,120,187
Tax %,24%,28%,27%,28%,11%,26%,28%,24%,24%,24%,21%,21%,24%
Net Profit+,101,102,125,124,127,106,131,143,101,159,158,95,142
EPS in Rs,3.77,3.80,4.66,4.61,4.74,3.96,4.87,5.32,3.78,5.92,5.89,3.54,5.36
Raw PDF,,,,,,,,,,,,,
