Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,787,762,957,805,930,815,"1,011",949,974,805,980,"1,041",995
Expenses+,618,618,668,587,673,584,689,658,641,554,644,670,644
Operating Profit,170,144,289,218,257,231,322,292,333,251,336,371,351
OPM %,22%,19%,30%,27%,28%,28%,32%,31%,34%,31%,34%,36%,35%
Other Income+,38,54,28,-135,32,36,39,35,41,44,36,50,36
Interest,1,0,0,0,1,0,0,0,1,0,1,1,1
Depreciation,17,16,18,17,18,16,17,19,15,16,17,20,13
Profit before tax,190,181,299,65,271,249,344,308,359,279,354,400,373
Tax %,30%,27%,27%,30%,28%,27%,27%,25%,27%,27%,27%,26%,26%
Net Profit+,133,132,218,46,194,182,252,230,263,205,257,296,278
EPS in Rs,7.88,7.81,12.84,2.70,11.48,10.76,14.91,13.57,15.52,12.10,15.20,17.45,16.40
Raw PDF,,,,,,,,,,,,,
