Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,736,515,491,469,511,464,524,515,536,406,475,420,472
Expenses+,507,393,377,370,374,348,404,397,364,311,341,330,330
Operating Profit,230,122,114,100,137,116,120,118,172,95,134,90,143
OPM %,31%,24%,23%,21%,27%,25%,23%,23%,32%,23%,28%,22%,30%
Other Income+,44,57,82,77,41,21,2,14,3,9,-22,3,4
Interest,0,1,0,0,0,0,0,0,0,0,0,1,0
Depreciation,10,9,9,9,9,9,9,10,10,9,9,10,9
Profit before tax,264,169,186,167,169,127,113,122,165,94,102,83,138
Tax %,28%,27%,18%,18%,19%,19%,27%,25%,28%,26%,26%,26%,26%
Net Profit+,190,123,152,138,137,103,82,91,120,70,76,62,103
EPS in Rs,82.78,53.43,66.17,59.87,59.39,44.96,35.74,39.70,51.96,30.22,33.04,26.83,44.61
Raw PDF,,,,,,,,,,,,,
