Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"3,243","3,223","3,214","3,534","3,670","3,784","4,019","4,098","4,023","4,260","4,336","4,578","4,771"
Interest,"1,445","1,364","1,325","1,353","1,335","1,351","1,476","1,569","1,600","1,636","1,634","1,703","1,747"
Expenses+,"1,309","1,270","1,331","1,375","1,619","1,482","1,575","1,676","1,581","1,640","1,662","1,800","1,890"
Financing Profit,489,590,557,806,716,950,968,853,842,984,"1,040","1,075","1,134"
Financing Margin %,15%,18%,17%,23%,20%,25%,24%,21%,21%,23%,24%,23%,24%
Other Income+,202,153,268,47,6,0,5,8,4,0,0,-25,0
Depreciation,29,30,28,29,28,28,33,36,41,41,51,58,60
Profit before tax,662,714,797,824,694,922,940,824,806,943,989,992,"1,074"
Tax %,37%,26%,25%,22%,20%,26%,26%,24%,21%,26%,26%,26%,25%
Net Profit+,417,531,594,639,553,685,697,626,636,701,735,738,809
EPS in Rs,2.02,2.14,2.40,2.57,2.23,2.75,2.79,2.51,2.55,2.81,2.94,2.95,3.22
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
