Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,624","2,069","2,596","2,436","3,136","2,548","3,140","2,981","3,670","3,114"
Expenses+,"2,197","1,818","2,231","2,134","2,631","2,191","2,681","2,587","3,065","2,689"
Operating Profit,427,251,366,302,505,357,459,395,605,425
OPM %,16%,12%,14%,12%,16%,14%,15%,13%,16%,14%
Other Income+,10,7,8,13,19,19,17,20,25,25
Interest,33,36,34,34,31,49,41,41,43,46
Depreciation,132,136,138,141,141,171,159,169,168,178
Profit before tax,272,85,201,141,352,156,276,204,419,225
Tax %,25%,28%,25%,26%,25%,26%,25%,25%,25%,25%
Net Profit+,205,61,150,104,263,115,206,152,313,168
EPS in Rs,0.46,0.14,0.33,0.23,0.58,0.25,0.44,0.33,0.67,0.36
Raw PDF,,,,,,,,,,
