Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,070","4,069","4,059","4,750","4,461","3,137","3,302","3,614","3,925","3,551","4,374","4,532","4,313"
Expenses+,"3,650","3,712","3,660","4,287","4,131","2,763","2,902","3,179","3,465","3,026","3,783","3,917","3,809"
Operating Profit,421,357,400,463,330,374,400,434,460,525,591,616,504
OPM %,10%,9%,10%,10%,7%,12%,12%,12%,12%,15%,14%,14%,12%
Other Income+,91,50,227,62,178,83,125,487,570,84,131,120,142
Interest,95,92,75,62,75,66,83,82,88,63,49,51,49
Depreciation,91,86,86,90,87,85,89,90,87,85,84,93,93
Profit before tax,325,228,466,373,347,305,352,749,855,461,588,593,504
Tax %,26%,26%,17%,21%,17%,19%,20%,10%,18%,24%,25%,23%,26%
Net Profit+,240,168,387,294,287,248,283,672,699,349,444,456,371
EPS in Rs,9.02,6.32,14.70,11.15,10.24,9.46,10.94,25.72,26.62,13.31,16.68,17.16,14.04
Raw PDF,,,,,,,,,,,,,
