Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,840","2,140","2,363","2,556","2,809","2,765","2,420","3,078","3,733","4,189","4,446","5,090"
Expenses+,"1,636","1,803","1,994","2,076","2,301","2,425","2,183","2,696","3,174","3,430","3,676","4,104"
Operating Profit,204,337,369,480,508,340,238,382,560,759,770,986
OPM %,11%,16%,16%,19%,18%,12%,10%,12%,15%,18%,17%,19%
Other Income+,14,18,49,44,33,42,27,35,64,78,70,14
Interest,4,2,2,2,1,4,2,4,7,3,11,44
Depreciation,50,49,47,42,42,57,60,53,56,53,55,63
Profit before tax,165,303,369,480,497,320,202,360,561,781,773,894
Tax %,34%,36%,35%,35%,35%,32%,26%,26%,26%,25%,38%,42%
Net Profit+,108,195,241,311,323,219,149,266,416,583,476,522
EPS in Rs,96.17,172.89,213.72,275.67,286.72,194.38,132.53,236.29,369.41,517.90,422.61,463.66
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,257%,132%,127%,109%
