Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"5,720","5,572","4,914","4,689","6,714","4,074","4,855","4,567","6,427","3,909","5,123","4,684","6,696"
Expenses+,"5,345","5,222","4,616","4,440","6,258","3,892","4,599","4,328","5,994","3,856","4,906","4,464","6,427"
Operating Profit,374,349,298,249,456,182,256,239,433,53,217,221,269
OPM %,7%,6%,6%,5%,7%,4%,5%,5%,7%,1%,4%,5%,4%
Other Income+,274,289,320,358,323,264,281,326,236,238,234,308,89
Interest,146,146,133,139,150,137,141,145,117,108,100,105,98
Depreciation,6,6,6,5,4,7,7,7,9,9,9,9,10
Profit before tax,496,487,480,463,625,302,389,413,543,173,342,415,250
Tax %,28%,30%,18%,22%,23%,26%,26%,25%,16%,23%,33%,22%,27%
Net Profit+,359,343,394,359,478,224,287,312,455,134,231,324,182
EPS in Rs,1.72,1.64,1.89,1.72,2.30,1.07,1.38,1.49,2.18,0.65,1.10,1.55,0.90
Raw PDF,,,,,,,,,,,,,
