Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"5,100","5,036","4,774","5,193","5,401","5,124","4,054","4,573","5,532","5,281","4,761","4,801","6,101"
Expenses+,"4,211","4,091","3,888","3,930","3,979","4,197","3,441","3,608","4,103","3,948","3,787","3,853","4,717"
Operating Profit,889,945,886,"1,264","1,422",927,613,965,"1,429","1,333",974,947,"1,384"
OPM %,17%,19%,19%,24%,26%,18%,15%,21%,26%,25%,20%,20%,23%
Other Income+,146,169,132,147,150,139,181,111,158,235,179,146,101
Interest,71,74,67,55,62,56,56,52,41,46,51,59,56
Depreciation,473,339,412,444,702,704,716,799,788,654,668,710,762
Profit before tax,491,700,539,913,807,306,23,225,758,868,434,324,667
Tax %,-7%,18%,17%,23%,16%,9%,-229%,14%,24%,26%,29%,17%,21%
Net Profit+,525,572,447,702,676,278,77,194,575,644,310,268,528
EPS in Rs,145.72,158.62,123.79,194.53,187.05,77.22,21.19,53.60,159.18,178.12,85.51,73.92,145.70
Raw PDF,,,,,,,,,,,,,
