Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,926,"1,042","1,056","1,233","1,664","1,618","1,411","2,203","2,807","2,910","3,148","3,419"
Expenses+,792,880,898,"1,070","1,375","1,254","1,159","1,692","2,246","2,337","2,556","2,808"
Operating Profit,134,162,158,163,289,363,252,511,560,572,592,612
OPM %,14%,16%,15%,13%,17%,22%,18%,23%,20%,20%,19%,18%
Other Income+,6,3,10,21,16,23,20,14,53,41,50,28
Interest,1,1,1,1,2,3,1,2,3,4,4,4
Depreciation,17,22,29,43,79,77,75,84,87,85,85,106
Profit before tax,122,142,138,140,224,306,195,438,524,524,553,530
Tax %,34%,35%,30%,34%,34%,20%,27%,25%,25%,25%,19%,25%
Net Profit+,81,92,97,92,149,246,143,327,391,392,447,398
EPS in Rs,11.87,13.50,14.29,13.53,19.76,32.72,19.04,43.49,51.95,52.13,59.48,52.96
Dividend Payout %,25%,7%,7%,7%,5%,153%,8%,3%,3%,5%,61%,5%
