Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,81,81,101,157,184,214,246,322,573,580,676,876
Expenses+,79,71,113,125,130,156,163,228,419,468,555,705
Operating Profit,2,11,-12,32,54,58,83,94,154,112,121,171
OPM %,2%,13%,-12%,20%,29%,27%,34%,29%,27%,19%,18%,20%
Other Income+,3,1,1,1,4,4,1,9,20,6,6,20
Interest,8,7,5,4,4,5,7,7,14,22,22,29
Depreciation,5,5,5,11,11,12,13,14,18,23,32,34
Profit before tax,-7,-1,-22,17,42,46,65,82,141,73,72,127
Tax %,-36%,-133%,-30%,68%,6%,31%,29%,26%,26%,23%,26%,25%
Net Profit+,-5,0,-15,5,39,31,46,61,104,56,54,95
EPS in Rs,-1.64,0.06,-5.34,1.92,13.89,11.70,14.98,19.79,33.84,18.29,17.51,30.99
Dividend Payout %,-0%,-0%,-0%,-0%,22%,43%,40%,15%,-0%,-0%,-0%,-0%
