Metric,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,501,774,162,388,"1,067","1,396","1,688","1,648"
Expenses+,398,646,198,363,693,980,"1,134",999
Operating Profit,103,128,-36,24,374,417,554,649
OPM %,21%,16%,-22%,6%,35%,30%,33%,39%
Other Income+,5,15,20,20,84,133,122,161
Interest,10,2,5,5,48,52,46,64
Depreciation,22,21,22,17,83,111,126,150
Profit before tax,76,119,-43,22,327,387,504,595
Tax %,33%,29%,25%,68%,23%,23%,25%,24%
Net Profit+,51,104,-60,13,251,298,380,452
EPS in Rs,103.51,268.84,-147.64,32.04,629.55,743.09,27.58,33.49
Dividend Payout %,0%,0%,0%,0%,0%,50%,31%,31%
