Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,125,150,207,214,241,257,322,278,224,259,319,304,263
Expenses+,56,70,79,84,93,103,122,117,115,129,143,145,147
Operating Profit,68,80,128,130,148,154,200,161,109,130,176,160,116
OPM %,55%,53%,62%,61%,61%,60%,62%,58%,49%,50%,55%,52%,44%
Other Income+,19,24,23,21,29,30,37,21,32,36,22,29,6
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,5,6,6,7,8,10,12,13,14,15,16,17,18
Profit before tax,82,98,145,145,168,175,225,168,127,151,183,172,103
Tax %,23%,25%,25%,26%,23%,23%,28%,23%,21%,32%,23%,23%,23%
Net Profit+,63,74,109,107,129,134,162,130,100,102,140,133,80
EPS in Rs,3.02,3.52,5.21,5.14,6.18,6.42,7.75,6.22,4.80,4.90,6.71,6.38,3.84
Raw PDF,,,,,,,,,,,,,
