Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"3,762","3,912","4,087","4,622","4,348","4,359","4,421","4,619","4,674","4,877","4,961","5,127","4,934"
Interest,507,571,605,695,724,767,788,829,795,813,760,785,714
Expenses+,"2,565","2,631","2,760","3,258","2,811","2,867","3,173","3,372","3,320","3,439","3,742","3,785","3,625"
Financing Profit,690,710,722,668,813,725,461,419,559,625,459,557,596
Financing Margin %,18%,18%,18%,14%,19%,17%,10%,9%,12%,13%,9%,11%,12%
Other Income+,154,134,134,120,127,124,135,148,158,158,176,226,253
Depreciation,45,48,47,51,52,49,50,49,-2,35,35,34,32
Profit before tax,800,797,809,738,888,799,545,518,719,748,600,749,816
Tax %,25%,26%,26%,26%,25%,26%,26%,26%,26%,26%,26%,26%,25%
Net Profit+,596,593,603,549,662,594,404,383,534,556,445,557,609
EPS in Rs,6.30,6.27,6.37,5.78,6.97,6.25,4.25,4.03,5.61,5.84,4.67,5.85,6.40
Gross NPA %,2.35%,2.41%,2.43%,2.64%,2.76%,3.06%,3.27%,3.24%,3.08%,3.07%,2.85%,2.86%,2.41%
Net NPA %,0.87%,0.89%,0.89%,0.96%,0.99%,1.11%,1.19%,1.18%,1.46%,1.42%,1.29%,1.28%,1.04%
Raw PDF,,,,,,,,,,,,,
