Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,678","3,130","3,204","3,255","2,815","3,349","3,029","3,355","2,830","3,405","3,191","3,559","3,038"
Expenses+,"2,268","2,526","2,543","2,588","2,348","2,694","2,476","2,673","2,403","2,737","2,603","2,825","2,577"
Operating Profit,410,605,661,667,466,655,553,682,427,667,588,734,461
OPM %,15%,19%,21%,20%,17%,20%,18%,20%,15%,20%,18%,21%,15%
Other Income+,121,110,117,127,129,129,152,129,141,144,140,126,175
Interest,32,24,28,36,35,33,47,44,39,35,40,31,40
Depreciation,102,97,98,97,107,109,111,109,117,114,115,117,122
Profit before tax,396,593,651,661,453,642,546,658,412,663,573,711,474
Tax %,26%,23%,22%,23%,25%,23%,24%,22%,24%,23%,22%,22%,24%
Net Profit+,293,457,507,506,341,494,418,516,313,508,445,554,362
EPS in Rs,1.70,2.62,2.91,2.90,1.97,2.82,2.40,2.95,1.81,2.90,2.55,3.16,2.08
Raw PDF,,,,,,,,,,,,,
