Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,358","3,664","3,674","4,563","4,707","5,379","6,184","5,830","6,375","6,819","6,596","6,730","7,443"
Expenses+,"2,154","2,395","2,324","3,092","3,141","3,728","4,469","4,170","4,335","5,009","4,640","4,734","5,298"
Operating Profit,"1,203","1,269","1,350","1,471","1,566","1,651","1,715","1,661","2,040","1,811","1,955","1,995","2,145"
OPM %,36%,35%,37%,32%,33%,31%,28%,28%,32%,27%,30%,30%,29%
Other Income+,502,108,93,262,204,"-1,395",176,170,222,206,171,215,227
Interest,630,616,641,760,750,811,813,809,826,894,872,913,954
Depreciation,416,419,432,458,468,498,484,462,462,465,509,496,508
Profit before tax,660,343,370,515,552,"-1,053",594,559,974,658,746,801,910
Tax %,33%,47%,23%,32%,31%,13%,-30%,-12%,27%,18%,25%,28%,21%
Net Profit+,440,182,284,348,381,"-1,191",773,625,714,539,557,574,723
EPS in Rs,3.49,1.57,2.47,2.91,3.24,-7.39,5.62,4.68,5.39,4.27,4.44,4.60,5.69
Raw PDF,,,,,,,,,,,,,
