Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,407","4,218","3,998","3,730","3,475","3,789","3,999","3,590","3,509","3,719","3,877","3,550","3,438"
Expenses+,"3,442","3,175","3,191","3,188","3,032","3,215","3,381","3,156","3,182","3,070","3,340","3,205","3,164"
Operating Profit,965,"1,043",807,542,443,574,618,434,327,649,537,345,274
OPM %,22%,25%,20%,15%,13%,15%,15%,12%,9%,17%,14%,10%,8%
Other Income+,86,67,187,98,-861,116,152,-10,29,138,128,21,"-1,760"
Interest,133,123,145,132,130,133,145,148,137,147,144,146,153
Depreciation,234,229,234,246,271,273,277,280,293,280,285,293,343
Profit before tax,684,758,615,262,-819,284,348,-4,-74,360,236,-73,"-1,982"
Tax %,-1%,23%,20%,26%,3%,33%,23%,425%,-34%,12%,35%,-5%,7%
Net Profit+,692,587,495,194,-841,190,267,-21,-49,316,154,-69,"-2,116"
EPS in Rs,27.83,20.88,16.80,6.20,-33.36,5.89,7.61,-2.08,-2.20,9.89,3.02,-3.65,-83.67
Raw PDF,,,,,,,,,,,,,
