Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"10,984","23,384","17,388","26,430","22,482","25,396","25,158","4,536","15,687","25,401","11,936","22,834","3,185"
Expenses+,"11,400","23,663","17,682","26,584","22,760","25,362","24,839","4,295","15,272","25,188","11,955","22,093","3,940"
Operating Profit,-416,-280,-293,-155,-278,34,319,241,415,213,-19,741,-754
OPM %,-4%,-1%,-2%,-1%,-1%,0%,1%,5%,3%,1%,-0%,3%,-24%
Other Income+,780,496,570,420,549,237,-17,169,183,177,408,-243,"1,036"
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,364,216,276,265,270,271,302,410,598,390,389,498,281
Tax %,35%,5%,12%,14%,36%,17%,17%,21%,36%,23%,24%,22%,-122%
Net Profit+,235,206,244,227,174,224,251,325,385,301,296,387,624
EPS in Rs,1.64,1.43,1.69,1.58,1.21,1.56,1.74,2.25,2.67,2.08,2.04,2.67,4.30
Raw PDF,,,,,,,,,,,,,
