Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,898,"1,140","1,031",759,"1,068","1,363","1,371",475,"1,221","1,329","1,363",647,739
Expenses+,559,612,573,490,571,558,567,436,673,758,784,489,612
Operating Profit,339,528,458,268,497,805,804,39,548,571,579,159,128
OPM %,38%,46%,44%,35%,47%,59%,59%,8%,45%,43%,42%,25%,17%
Other Income+,29,20,29,37,42,48,64,176,66,62,100,58,78
Interest,3,4,4,5,6,5,4,4,10,3,13,10,11
Depreciation,41,44,44,44,56,44,46,47,98,58,52,46,50
Profit before tax,324,500,440,256,478,804,818,164,506,572,614,161,144
Tax %,15%,16%,16%,17%,19%,17%,17%,19%,20%,16%,16%,13%,-62%
Net Profit+,276,420,369,213,386,668,676,132,406,480,518,151,269
EPS in Rs,15.11,23.47,20.60,11.88,21.57,37.32,37.81,7.43,22.70,26.84,28.94,8.46,14.96
Raw PDF,,,,,,,,,,,,,
