Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,023","4,011","4,433","4,256","4,069","4,250","4,668","4,593","4,432","4,622","4,841","4,970","4,719"
Expenses+,"3,222","3,322","3,562","3,437","3,286","3,497","3,888","3,750","3,632","3,870","3,889","3,992","3,885"
Operating Profit,801,689,871,820,784,753,780,843,801,752,951,977,834
OPM %,20%,17%,20%,19%,19%,18%,17%,18%,18%,16%,20%,20%,18%
Other Income+,60,57,52,48,57,31,46,62,63,57,52,59,55
Interest,35,53,53,31,26,29,35,45,31,26,35,33,19
Depreciation,65,71,72,78,80,74,76,82,81,82,85,85,85
Profit before tax,761,622,799,758,735,681,715,778,752,701,884,919,785
Tax %,27%,27%,27%,27%,27%,26%,26%,25%,26%,26%,26%,26%,13%
Net Profit+,558,455,586,556,537,505,532,582,559,520,655,682,680
EPS in Rs,23.19,19.00,24.39,23.10,22.35,20.99,22.06,24.15,23.25,21.62,27.17,28.23,28.16
Raw PDF,,,,,,,,,,,,,
