Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,255","1,617","1,750","2,931","4,018","2,846","2,626","4,083","4,224","3,492","3,798","4,672","4,714"
Expenses+,"2,487","1,289","1,338","2,055","2,972","2,090","1,922","2,777","3,004","2,508","2,690","3,257","3,301"
Operating Profit,769,328,412,876,"1,046",756,704,"1,306","1,220",984,"1,108","1,415","1,413"
OPM %,24%,20%,24%,30%,26%,27%,27%,32%,29%,28%,29%,30%,30%
Other Income+,16,54,6,-77,65,72,59,64,196,133,80,110,129
Interest,117,124,123,117,116,117,136,144,152,148,156,185,167
Depreciation,30,24,29,33,117,60,66,67,78,66,71,98,111
Profit before tax,638,235,265,649,878,651,560,"1,158","1,186",904,961,"1,243","1,264"
Tax %,-17%,24%,24%,22%,24%,27%,24%,18%,22%,25%,18%,23%,20%
Net Profit+,746,179,203,505,667,476,423,945,923,675,790,958,"1,008"
EPS in Rs,7.73,1.85,2.09,5.22,6.69,4.78,4.25,9.47,9.24,6.76,7.90,9.58,10.09
Raw PDF,,,,,,,,,,,,,
