Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"242,598","187,815","201,251","235,895","298,226","284,572","230,171","346,791","473,187","448,083","440,272","455,228"
Expenses+,"232,818","174,844","187,468","220,578","283,113","275,597","209,170","327,654","462,288","404,001","414,870","414,026"
Operating Profit,"9,780","12,971","13,783","15,317","15,112","8,975","21,001","19,137","10,899","44,082","25,401","41,202"
OPM %,4%,7%,7%,6%,5%,3%,9%,6%,2%,10%,6%,9%
Other Income+,"2,117","1,913","2,721","2,927","2,975","1,393","7,489","4,939","2,036","3,032","3,629","4,399"
Interest,"1,180",680,696,"1,186","1,764","2,637","1,723","2,606","3,745","4,149","3,591","2,953"
Depreciation,"3,027","2,072","2,108","2,885","3,418","4,080","4,334","5,434","6,369","6,771","7,257","7,856"
Profit before tax,"7,690","12,132","13,700","14,174","12,905","3,652","22,432","16,037","2,821","36,194","18,182","34,791"
Tax %,34%,33%,31%,31%,34%,-0%,23%,27%,24%,26%,27%,26%
Net Profit+,"5,082","8,089","9,507","9,792","8,528","3,666","17,320","11,682","2,131","26,859","13,337","25,843"
EPS in Rs,11.08,18.64,20.10,20.76,17.98,7.04,37.26,26.93,4.91,61.91,30.74,59.57
Dividend Payout %,34%,25%,49%,46%,48%,106%,102%,29%,40%,33%,32%,12%
