Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,105,123,146,188,196,225,344,551,555,812,"1,082","1,145"
Expenses+,60,59,67,77,87,136,132,186,236,324,457,563
Operating Profit,45,64,79,110,109,89,212,365,319,488,625,582
OPM %,43%,52%,54%,59%,56%,40%,62%,66%,57%,60%,58%,51%
Other Income+,23,72,41,38,49,59,57,55,66,95,119,94
Interest,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,6,4,4,7,10,12,9,11,19,27,49,66
Profit before tax,63,131,117,141,148,136,260,409,365,556,695,609
Tax %,31%,31%,26%,27%,23%,22%,22%,24%,24%,25%,24%,25%
Net Profit+,43,91,87,104,115,107,201,312,276,420,526,455
EPS in Rs,2.09,4.35,4.10,4.94,5.43,5.08,9.59,14.89,13.20,20.05,25.20,21.82
Dividend Payout %,53%,29%,37%,35%,37%,44%,47%,50%,61%,55%,50%,58%
