Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,832,954,925,"1,161","1,079","1,137","1,116","1,294","1,304","1,506","1,494","1,547","1,504"
Expenses+,753,834,804,"1,018",959,990,955,"1,111","1,127","1,274","1,256","1,280","1,219"
Operating Profit,79,120,121,143,120,147,162,183,178,232,238,267,284
OPM %,9%,13%,13%,12%,11%,13%,14%,14%,14%,15%,16%,17%,19%
Other Income+,7,6,4,6,2,2,1,1,3,-5,3,-7,10
Interest,9,12,12,18,17,16,17,20,22,16,16,16,15
Depreciation,20,24,26,32,32,33,36,36,36,36,37,37,42
Profit before tax,57,89,86,99,74,100,110,129,123,175,187,206,237
Tax %,25%,23%,25%,24%,27%,25%,27%,26%,25%,25%,25%,25%,24%
Net Profit+,43,68,65,75,54,75,81,95,92,131,140,155,179
EPS in Rs,3.19,5.11,4.85,5.62,4.03,5.64,6.03,7.14,6.88,9.75,10.42,11.57,13.40
Raw PDF,,,,,,,,,,,,,
