Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"14,161","16,683","14,944","19,452","17,825","19,571","16,970","22,111","22,152","20,496","18,555","23,472","22,438"
Expenses+,"11,409","11,709","12,744","14,303","13,832","14,412","15,338","16,932","16,062","15,270","17,976","18,104","21,628"
Operating Profit,"2,752","4,974","2,200","5,149","3,994","5,159","1,631","5,179","6,089","5,226",580,"5,367",810
OPM %,19%,30%,15%,26%,22%,26%,10%,23%,27%,26%,3%,23%,4%
Other Income+,440,478,559,610,680,678,789,882,946,"1,046","1,044",-478,"1,142"
Interest,918,954,"1,021","1,095","1,099","1,158","1,240","1,308","1,374","1,396","1,465","1,545","1,485"
Depreciation,"1,353","1,408","1,549","1,666","1,803","1,876","2,088","2,226","2,491","2,566","2,640","2,782","2,820"
Profit before tax,920,"3,091",189,"2,998","1,771","2,804",-907,"2,527","3,169","2,311","-2,482",562,"-2,352"
Tax %,0%,0%,0%,0%,-7%,3%,9%,3%,3%,6%,4%,2%,8%
Net Profit+,919,"3,091",189,"2,998","1,895","2,729",-987,"2,449","3,068","2,176","-2,582",549,"-2,537"
EPS in Rs,23.84,80.16,4.90,77.68,49.09,70.70,-25.54,63.38,79.38,56.31,-66.79,14.22,-65.60
Raw PDF,,,,,,,,,,,,,
