Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,403,467,557,599,610,520,521,451,476,602,"1,223",874,604
Expenses+,358,390,456,486,479,410,412,357,396,410,679,572,529
Operating Profit,45,78,101,113,131,110,109,94,79,192,544,302,75
OPM %,11%,17%,18%,19%,22%,21%,21%,21%,17%,32%,44%,35%,12%
Other Income+,4,3,3,2,-19,5,12,2,6,17,-8,10,10
Interest,3,2,3,3,4,2,3,5,4,6,3,3,2
Depreciation,10,10,10,11,11,11,11,11,11,12,12,12,15
Profit before tax,36,69,91,102,98,103,107,79,71,191,520,297,67
Tax %,3%,25%,26%,23%,33%,26%,29%,26%,26%,26%,26%,27%,23%
Net Profit+,35,52,68,79,81,80,87,65,45,143,387,220,64
EPS in Rs,1.26,1.87,2.48,2.85,2.94,2.89,3.15,2.33,1.62,5.17,13.97,7.96,2.30
Raw PDF,,,,,,,,,,,,,
