Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,183,182,209,219,228,238,280,290,283,274,309,371,347
Expenses+,99,112,116,121,125,138,154,159,160,160,174,219,219
Operating Profit,84,70,93,98,104,100,127,131,122,114,136,152,128
OPM %,46%,39%,45%,45%,45%,42%,45%,45%,43%,41%,44%,41%,37%
Other Income+,6,5,6,6,7,8,11,9,10,10,11,-2,11
Interest,3,3,3,1,1,1,1,1,1,1,1,1,1
Depreciation,11,12,13,13,15,15,17,16,17,18,18,23,27
Profit before tax,76,60,84,89,94,92,119,122,114,105,127,125,111
Tax %,25%,28%,27%,25%,21%,26%,25%,26%,26%,26%,26%,27%,27%
Net Profit+,57,43,61,67,74,68,89,90,85,77,93,92,81
EPS in Rs,3.37,2.55,3.61,3.92,4.36,3.97,5.21,5.25,4.94,4.49,5.42,5.33,4.70
Raw PDF,,,,,,,,,,,,,
