Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,775,885,"1,093","1,471","1,810","1,483","1,546","2,206","2,980","3,208","3,848","4,818"
Expenses+,579,661,870,"1,196","1,395","1,088","1,112","1,681","2,321","2,566","3,292","3,975"
Operating Profit,195,225,223,275,414,395,434,526,659,642,556,843
OPM %,25%,25%,20%,19%,23%,27%,28%,24%,22%,20%,14%,18%
Other Income+,1,6,11,15,13,3,13,13,12,15,32,30
Interest,62,76,90,109,131,149,107,84,117,155,193,248
Depreciation,83,102,112,136,158,196,192,206,215,236,268,325
Profit before tax,51,52,32,45,138,54,148,248,339,266,128,301
Tax %,-2%,25%,-133%,29%,32%,32%,34%,35%,30%,26%,27%,26%
Net Profit+,53,39,75,32,94,37,97,160,238,198,94,221
EPS in Rs,913.55,676.99,"1,311.36",319.35,46.81,18.21,45.80,75.94,112.53,93.52,39.27,92.84
Dividend Payout %,1%,2%,1%,16%,5%,0%,0%,5%,10%,12%,13%,12%
