Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,836,826,865,996,891,906,891,"1,049",963,904,799,"1,152",925
Expenses+,636,636,632,682,682,692,645,715,744,692,622,768,739
Operating Profit,199,190,233,314,209,214,246,334,219,212,177,384,186
OPM %,24%,23%,27%,32%,24%,24%,28%,32%,23%,23%,22%,33%,20%
Other Income+,14,8,11,11,11,10,22,15,21,22,21,9,23
Interest,1,2,2,3,3,2,2,2,3,2,3,3,3
Depreciation,64,46,46,46,48,44,45,46,44,44,45,45,42
Profit before tax,148,150,196,276,169,178,220,301,194,187,150,345,164
Tax %,4%,9%,8%,6%,13%,16%,4%,7%,16%,12%,1%,7%,13%
Net Profit+,142,137,180,261,147,151,211,279,162,164,148,319,143
EPS in Rs,3.27,3.14,4.09,5.92,3.41,3.50,4.87,6.39,3.72,3.76,3.40,7.32,3.28
Raw PDF,,,,,,,,,,,,,
