Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"6,247","6,245","6,280","6,595","6,258","6,335","6,437","6,928","6,424","6,561","6,831","7,743","7,336"
Expenses+,"5,249","5,193","5,120","5,387","5,230","5,426","5,559","5,981","5,586","5,693","5,810","6,557","6,267"
Operating Profit,998,"1,051","1,160","1,208","1,028",909,878,947,837,868,"1,021","1,186","1,069"
OPM %,16%,17%,18%,18%,16%,14%,14%,14%,13%,13%,15%,15%,15%
Other Income+,40,22,13,3,38,-10,17,4,-91,-351,-150,23,-421
Interest,139,135,133,123,115,107,120,111,109,101,101,100,90
Depreciation,372,362,360,368,388,370,376,376,377,378,383,385,397
Profit before tax,527,576,680,721,563,423,399,465,260,38,386,723,162
Tax %,22%,31%,30%,31%,37%,29%,25%,27%,29%,66%,33%,35%,-290%
Net Profit+,410,397,474,497,354,302,297,337,185,13,258,471,631
EPS in Rs,6.46,6.25,7.47,7.82,5.58,4.76,4.68,5.31,2.91,0.20,4.06,7.41,9.93
Raw PDF,,,,,,,,,,,,,
