Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,631","1,833","1,610","2,017","2,258","2,381","1,991","2,270","2,532","2,542","2,195","2,315","2,973"
Expenses+,"1,491","1,671","1,452","1,812","2,037","2,160","1,809","2,063","2,277","2,310","1,993","2,094","2,616"
Operating Profit,140,162,158,205,221,221,182,207,255,233,202,222,358
OPM %,9%,9%,10%,10%,10%,9%,9%,9%,10%,9%,9%,10%,12%
Other Income+,7,13,14,15,22,16,23,10,16,22,41,23,92
Interest,51,51,52,58,57,53,57,59,62,50,53,50,61
Depreciation,31,45,53,56,54,49,47,45,51,41,43,43,39
Profit before tax,65,79,68,106,130,135,100,113,157,164,146,152,350
Tax %,42%,34%,21%,26%,31%,26%,28%,23%,28%,16%,26%,27%,31%
Net Profit+,38,52,54,79,90,100,72,87,113,137,108,111,242
EPS in Rs,2.20,3.04,3.12,4.56,5.21,5.83,4.19,5.07,6.60,7.99,6.27,6.46,14.10
Raw PDF,,,,,,,,,,,,,
