Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,283,277,308,291,331,313,350,323,345,386,429,406,425
Expenses+,212,214,234,226,251,235,260,251,283,296,321,311,317
Operating Profit,70,63,75,65,80,79,90,72,62,90,108,95,108
OPM %,25%,23%,24%,22%,24%,25%,26%,22%,18%,23%,25%,23%,25%
Other Income+,1,3,1,2,3,2,3,3,7,8,1,-0,8
Interest,6,6,6,5,6,5,5,5,5,5,6,6,8
Depreciation,23,21,22,25,26,26,27,28,29,31,32,32,39
Profit before tax,42,39,48,37,51,51,61,42,36,61,71,57,70
Tax %,20%,26%,26%,26%,28%,25%,24%,26%,19%,26%,26%,26%,27%
Net Profit+,33,29,36,27,37,38,47,31,29,45,53,42,51
EPS in Rs,1.63,1.41,1.73,1.33,1.78,1.85,2.27,1.53,1.41,2.17,2.54,2.00,2.46
Raw PDF,,,,,,,,,,,,,
