Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,346,365,503,609,699,539,"1,400","1,918","2,448","2,892","3,226","4,124"
Expenses+,263,294,398,445,501,388,"1,014","1,439","1,831","2,067","2,322","3,083"
Operating Profit,82,72,105,164,198,151,387,479,617,825,904,"1,041"
OPM %,24%,20%,21%,27%,28%,28%,28%,25%,25%,29%,28%,25%
Other Income+,2,-38,2,7,3,0,23,84,61,33,128,95
Interest,22,18,19,18,16,23,32,17,16,25,28,19
Depreciation,19,17,17,22,29,34,86,130,167,203,233,260
Profit before tax,44,-2,71,131,156,94,291,417,495,629,772,857
Tax %,34%,868%,36%,34%,35%,10%,26%,15%,22%,23%,25%,25%
Net Profit+,29,-16,45,86,101,84,216,354,388,484,580,646
EPS in Rs,10.42,-5.76,16.19,31.02,36.28,17.83,3.77,6.05,6.63,8.26,9.32,10.40
Dividend Payout %,0%,0%,0%,0%,0%,238%,502%,25%,42%,37%,34%,33%
