Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,126,124,115,258,534,698,507,489,686,779
Expenses+,52,48,47,171,296,346,300,300,374,394
Operating Profit,74,76,68,87,238,352,208,190,311,385
OPM %,59%,61%,59%,34%,45%,50%,41%,39%,45%,49%
Other Income+,7,4,6,10,26,19,12,65,34,86
Interest,11,12,12,71,99,75,60,56,60,53
Depreciation,12,12,11,50,92,103,80,79,84,84
Profit before tax,57,56,51,-24,73,193,80,120,200,334
Tax %,25%,15%,48%,96%,53%,22%,53%,46%,30%,22%
Net Profit+,43,47,26,-47,35,151,38,64,140,259
EPS in Rs,41.41,45.22,25.30,-2.70,0.95,5.48,1.15,2.25,4.99,9.83
Raw PDF,,,,,,,,,,
