Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,39,72,66,84,121,182,267,398,495,566,714,864
Expenses+,37,67,62,67,93,138,227,345,420,492,613,745
Operating Profit,2,6,4,17,28,45,40,53,75,74,102,119
OPM %,5%,8%,5%,20%,23%,24%,15%,13%,15%,13%,14%,14%
Other Income+,0,0,1,1,0,5,6,31,23,36,63,70
Interest,0,1,2,1,0,0,0,1,0,1,1,1
Depreciation,0,0,2,3,4,5,7,7,7,8,8,8
Profit before tax,2,5,1,14,24,44,40,76,90,102,155,180
Tax %,-31%,-3%,59%,35%,29%,25%,29%,25%,26%,25%,26%,26%
Net Profit+,2,5,0,9,17,33,28,57,67,76,115,134
EPS in Rs,0.28,0.63,0.03,0.73,1.37,2.58,2.21,4.24,5.02,5.42,8.22,9.51
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
