Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,056","2,416","2,848","3,288","3,562","4,206","4,799","5,405","5,833","7,167","13,590","16,315","17,292"
Expenses+,"2,282","2,464","2,895","3,237","3,476","4,029","4,573","5,243","5,761","7,052","13,351","15,947","16,806"
Operating Profit,-226,-48,-47,51,86,177,226,162,72,115,239,368,486
OPM %,-11%,-2%,-2%,2%,2%,4%,5%,3%,1%,2%,2%,2%,3%
Other Income+,171,181,212,219,235,236,221,252,368,354,352,348,342
Interest,15,18,16,18,20,25,30,43,56,67,86,107,132
Depreciation,134,130,128,128,140,149,180,247,287,314,376,439,468
Profit before tax,-204,-15,21,124,161,239,237,124,97,88,129,170,228
Tax %,-8%,-113%,-71%,-11%,-9%,-6%,26%,52%,60%,72%,50%,40%,24%
Net Profit+,-188,2,36,138,175,253,176,59,39,25,65,102,174
EPS in Rs,-0.22,0.00,0.04,0.16,0.20,0.29,0.20,0.06,0.04,0.03,0.07,0.11,0.18
Raw PDF,,,,,,,,,,,,,
