Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,994,808,910,854,917,790,891,944,"1,018",874,911,917,"1,036"
Expenses+,680,596,656,622,600,620,646,660,674,668,711,708,733
Operating Profit,314,212,254,232,317,170,245,284,344,206,200,209,303
OPM %,32%,26%,28%,27%,35%,22%,27%,30%,34%,24%,22%,23%,29%
Other Income+,23,24,14,26,16,50,16,18,19,18,15,-55,16
Interest,10,10,13,11,13,12,13,12,16,12,13,12,12
Depreciation,96,102,105,108,111,107,111,109,106,111,116,114,112
Profit before tax,231,123,151,138,209,101,137,181,240,101,85,28,196
Tax %,23%,24%,23%,19%,10%,25%,23%,27%,24%,14%,21%,47%,25%
Net Profit+,179,93,116,112,189,76,106,131,183,87,67,15,148
EPS in Rs,4.45,2.32,2.90,2.77,4.69,1.88,2.64,3.26,4.55,2.15,1.67,0.37,3.67
Raw PDF,,,,,,,,,,,,,
