Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,597,507,380,435,459,515,594,797,872,"1,001","1,279","1,856"
Expenses+,581,498,369,424,429,477,523,701,739,829,"1,043","1,527"
Operating Profit,16,9,11,10,30,38,71,97,134,171,235,330
OPM %,3%,2%,3%,2%,7%,7%,12%,12%,15%,17%,18%,18%
Other Income+,24,20,20,16,9,27,16,24,21,16,24,21
Interest,6,7,6,9,6,10,9,7,4,4,8,2
Depreciation,29,29,28,27,26,22,22,22,21,21,20,23
Profit before tax,6,-7,-4,-10,7,33,56,92,130,162,232,326
Tax %,114%,33%,24%,51%,57%,9%,20%,23%,25%,27%,25%,27%
Net Profit+,-1,-9,-4,-14,3,30,45,70,97,118,175,239
EPS in Rs,-0.05,-0.55,-0.27,-0.87,0.20,1.94,2.92,4.53,6.20,7.58,11.18,15.28
Dividend Payout %,"-1,059%",-110%,-135%,-41%,194%,23%,17%,15%,16%,15%,11%,7%
