Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,372","2,688","2,802","2,991","3,676","4,184","4,663","6,432","8,015","9,009","12,051","16,403"
Expenses+,"2,036","2,214","2,322","2,489","3,026","3,459","3,882","5,330","6,733","7,562","10,357","13,467"
Operating Profit,337,474,480,502,650,725,781,"1,102","1,282","1,447","1,694","2,936"
OPM %,14%,18%,17%,17%,18%,17%,17%,17%,16%,16%,14%,18%
Other Income+,-64,20,4,38,46,59,13,52,8,32,137,-83
Interest,6,8,6,9,9,16,14,65,81,126,135,169
Depreciation,92,121,128,127,125,173,184,227,258,297,428,682
Profit before tax,176,365,351,404,562,595,596,862,951,"1,056","1,269","2,003"
Tax %,31%,21%,22%,24%,25%,21%,22%,17%,22%,21%,26%,13%
Net Profit+,122,287,272,309,422,468,466,715,745,836,936,"1,745"
EPS in Rs,3.74,8.83,8.15,9.12,13.06,14.21,15.04,21.73,22.72,26.14,24.29,46.33
Dividend Payout %,51%,23%,31%,33%,0%,44%,17%,48%,56%,58%,63%,9%
