Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,694","1,351","1,421","1,560","2,196","2,022","2,103","2,975","3,790","3,132","3,871","4,236","5,493"
Expenses+,"1,461","1,152","1,196","1,313","1,839","1,652","1,809","2,475","3,096","2,533","3,150","3,498","4,529"
Operating Profit,233,199,225,248,357,370,294,500,693,599,721,738,964
OPM %,14%,15%,16%,16%,16%,18%,14%,17%,18%,19%,19%,17%,18%
Other Income+,257,19,-28,9,-16,23,18,28,35,33,27,23,97
Interest,86,62,44,14,44,45,56,70,85,103,110,114,135
Depreciation,81,55,51,39,44,46,54,66,93,70,75,80,93
Profit before tax,323,101,102,203,253,302,202,391,551,459,562,567,833
Tax %,1%,0%,0%,0%,-0%,0%,0%,1%,-114%,29%,-127%,21%,-34%
Net Profit+,320,101,102,203,254,302,201,388,"1,181",324,"1,279",445,"1,114"
EPS in Rs,0.22,0.08,0.08,0.15,0.19,0.22,0.15,0.29,0.87,0.24,0.94,0.33,0.82
Raw PDF,,,,,,,,,,,,,
