Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"2,187","2,301","2,478","2,649","2,854","2,621","2,556","2,443","2,591","2,953","3,305","3,427","3,692"
Interest,861,888,932,985,"1,063","1,042",963,996,"1,169","1,289","1,382","1,437","1,610"
Expenses+,779,822,877,948,"1,255","1,109","1,105","1,307","1,065","1,267","1,323","1,280","1,194"
Financing Profit,547,591,670,715,536,470,488,140,357,397,600,710,889
Financing Margin %,25%,26%,27%,27%,19%,18%,19%,6%,14%,13%,18%,21%,24%
Other Income+,89,69,57,46,68,12,-582,6,3,6,4,5,7
Depreciation,42,42,43,45,50,46,46,46,51,47,47,53,64
Profit before tax,594,618,684,716,554,436,-140,101,309,356,557,663,833
Tax %,23%,24%,23%,24%,22%,22%,-33%,19%,19%,23%,25%,24%,25%
Net Profit+,458,473,526,545,431,338,-93,82,251,274,418,501,623
EPS in Rs,9.76,10.06,11.20,11.58,8.81,6.79,-3.72,0.96,4.89,5.49,8.86,10.92,13.80
Gross NPA %,1.84%,1.84%,1.84%,1.71%,2.32%,2.25%,2.35%,2.42%,2.23%,2.34%,2.14%,1.60%,1.46%
Net NPA %,1.08%,1.06%,1.02%,0.87%,1.20%,1.11%,1.06%,1.01%,1.05%,1.13%,1.02%,0.75%,0.73%
Raw PDF,,,,,,,,,,,,,
